"序號","英雄","槽位","技能名","模板","原設計","目前模板行為","待補機制","編譯","基本模擬","原機制","畫面"
"29","芙莉蓮","EX","變出花田的魔法","tpl-buff-self","生成短期花田；GGD 改編效果為友軍首次進入時解除恐懼並取得小額護盾。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-29-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","目前自身盾；需花田區域、友軍首次進入解除恐懼及一次護盾。","passed","accepted","not-verified","not-run"
"30","尼古貓貓","PASSIVE","〔拖延症〕","tpl-on-attack","停止移動後逐步累積拖延，上限三層；受擊時清空，施法可消耗強化。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需靜止三層拖延、受擊清除與施法消耗。","passed","passive","not-verified","not-run"
"30","尼古貓貓","Q","〔菸灰缸飛過去〕","tpl-ground-nova","投擲道具，落地造成一次小範圍傷害。","指定落點半徑 300 wc3u 的一次小級範圍傷害。","菸灰缸道具拋物線未綁；落地一次傷害可測。","passed","accepted","not-verified","not-run"
"30","尼古貓貓","W","〔煙霧瀰漫〕","tpl-single-strike","形成有期限的小型煙霧區，提供明示的命中干擾；不自動賦予完整隱形。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":1.5,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","單體緩速不是煙霧區命中干擾；需區域及明示效果。","passed","accepted","not-verified","not-run"
"30","尼古貓貓","E","〔先溜再說〕","tpl-charge-push","短距離狼狽撤退，留下純視覺雜物殘影。","向指定方向突進 250 wc3u，造成極小級碰撞範圍傷害與推移。","撤退应無碰撞輸出，模板帶推移傷害，須審查改編。","passed","accepted","not-verified","not-run"
"30","尼古貓貓","R","〔房間大崩壞〕","tpl-random-barrage","在指定區域分三波掉落卡通雜物，具有清楚落點預警。","在指定區域依序落下 3 發；每發間隔 0.5 秒、半徑 150 wc3u、極小級傷害，可多次命中。","三波落點可測；卡通雜物模型與逐波預警待補。","passed","accepted","not-verified","not-run"
"30","尼古貓貓","EX","〔今天真的不想動〕","tpl-buff-self","消耗拖延層數，原地取得護盾；移動後提前結束。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":160,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-30-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","需拖延消耗與移動取消盾。","passed","accepted","not-verified","not-run"
"31","SUN樂","PASSIVE","〔糞作獵人的讀招〕","tpl-on-attack","成功以位移避開有效攻擊後，獲得一層讀招，上限三層。單純空按移動不增加。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需真正閃避事件的三層讀招，空按不增加。","passed","passive","not-verified","not-run"
"31","SUN樂","Q","Spiral Edge","tpl-single-strike","短劍螺旋刺擊；對剛被自己反擊的目標有有限追加效果。","指定單一敵人造成小級物理傷害。","需螺旋刃動畫與反擊後目標追加條件。","passed","accepted","not-verified","not-run"
"31","SUN樂","W","Slide Move","tpl-leap-strike","滑步位移，提供很短的精準迴避窗口。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","模板低跳不是精準迴避；需傷害來臨時間窗口。","passed","accepted","not-verified","not-run"
"31","SUN樂","E","Repel Counter","tpl-buff-self","短窗口迎擊攻擊，成功時擊退攻擊者，並提供一次 Q 接續機會。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-31-20260907.e.guard"",""onExisting"":""keepLarger""}]。","護盾不是 Repel Counter；需格擋成功、擊退與 Q 窗口。","passed","accepted","not-verified","not-run"
"31","SUN樂","R","Accel","tpl-buff-self","短期提高移速與近戰輸出能力，保留原本技能冷卻。","自身取得 3 秒增益：極小級移速、as +20%。","Accel 基礎移速／攻速增益；持續 3 秒且保留冷卻。","passed","accepted","not-verified","not-run"
"31","SUN樂","EX","〔攻略完成〕","tpl-single-strike","消耗三層讀招，對近期交鋒目標進行一次有方向的高傷害短劍終結。","指定單一敵人造成小級物理傷害。","需消耗三層讀招並限定近期交鋒目標。","passed","accepted","not-verified","not-run"
"32","阿薩謝爾","PASSIVE","淫奔","tpl-on-attack","轉譯為「負面能量」資源。對敵人造成有效技能傷害時累積，最多三層，每次施法最多一層。自傷、反傷及持續傷害的每跳不重複增加。","普攻追加極小級魔法傷害，內置冷卻 3 秒。","需每次有效施法一次負面能量，上限三；自傷反傷與每跳不得增加。","passed","passive","not-verified","not-run"
"32","阿薩謝爾","Q","肩パンチ","tpl-single-strike","近距離肩膀拳，造成小幅擊退。演出重點是一本正經地使出很普通的一拳，保留喜劇落差。","指定單一敵人造成小級物理傷害。","肩膀拳需小幅擊退与一本正經起手，当前只是單擊。","passed","accepted","not-verified","not-run"
"32","阿薩謝爾","W","流精群（ホワイトレイン）","tpl-random-barrage","指定區域落下三波白色魔力雨。每波對同一目標最多命中一次；以白色光點、漫畫速度線及誇張表情演出。","在指定區域依序落下 3 發；每發間隔 0.45 秒、半徑 150 wc3u、極小級傷害，可多次命中。","三波白色雨可作時序預覽；每波同目標一次與白點落下造型須驗收。","passed","accepted","not-verified","not-run"
"32","阿薩謝爾","E","闇ぱんち","tpl-buff-self","短暫叫出闇人格的影子進入反擊窗口。受到第一個符合條件的近身攻擊後，影子向攻擊者出拳並消失。「闇人格向敵人反擊」為 GGD 改編，不改寫原作招式使用者。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-32-20260907.e.guard"",""onExisting"":""keepLarger""}]。","護盾不代表闇人格反擊；需第一個近身受擊成功事件及一次出拳。","passed","accepted","not-verified","not-run"
"32","阿薩謝爾","R","THE END OF SON","tpl-single-strike","舉起負面能量球，蓄力後投出。命中造成傷害，並施加四秒「萎靡」：降低目標輸出。成功放出時，阿薩謝爾承受有生命底線的少量反噬。施法被中斷時按 GGD 中斷規則處理，不產生完整命中效果。","指定單一敵人造成小級魔法傷害。","需四秒萎靡的輸出降低，以及不致死反噬；目前只有可預覽的單體魔法命中。","passed","accepted","not-verified","not-run"
"32","阿薩謝爾","EX","THE END OF SON〔終章〕","tpl-single-strike","消耗三層負面能量，施放較集中的強化詛咒。未處於「萎靡」的目標受到傷害及較強、較短的輸出降低。已處於「萎靡」的目標移除原詛咒，改獲短暫的有限輸出增益，作為重複詛咒的反效果。因此 R→EX 可以實際觸發「本來想補刀，結果把對手弄強」的惡搞失誤。","指定單一敵人造成小級魔法傷害。","需三層消耗及已萎靡目標反轉增益。R→EX 把敵人變強是必要驗收，不得刪成普通強化傷害。","passed","accepted","not-verified","not-run"
"33","近衛刀太","PASSIVE","〔不死者再生〕","tpl-mark-stacks","受到傷害後延遲恢復部分損失生命；再次受擊延後恢復，且有每段時間上限。","本場一層免死標記，首次致死消耗並回復 15% 生命，保護 0.5 秒。","本場被動免死只是基底；需受傷延後再生与 R 短期再起资格，不能無條件常駐代替。","passed","passive","not-verified","not-run"
"33","近衛刀太","Q","〔重力劍・橫掃〕","tpl-line-sweep","使用重力劍進行扇形斬擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需重力劍扇形判定。","passed","accepted","not-verified","not-run"
"33","近衛刀太","W","〔重量切換〕","tpl-buff-self","在輕劍與重劍模式間切換：輕模式較快、重模式傷害較高且動作較慢。","自身取得 3 秒增益：ad +15%。","固定 AD 增益；需輕／重模式、攻速與動作時長同步。","passed","accepted","not-verified","not-run"
"33","近衛刀太","E","〔踏地突進〕","tpl-charge-push","短距離接近並揮劍。","向指定方向突進 250 wc3u，造成極小級碰撞範圍傷害與推移。","近身突進可作基礎驗收。","passed","accepted","not-verified","not-run"
"33","近衛刀太","R","〔不死者的再起〕","tpl-buff-self","短時間準備再起；首次致死傷害被攔截，經明顯恢復動作後回復有限生命。每回合一次。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":100,""ratios"":[]},""applyTo"":""self""}]。","目前立即回復；需主動再起窗口、首次致死截取與每回合一次。","passed","accepted","not-verified","not-run"
"33","近衛刀太","EX","〔重力劍・壓潰〕","tpl-line-sweep","固定為重劍模式的蓄力重擊，完成後短暫降低移速。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需固定重劍模式蓄力与完成後緩速。","passed","accepted","not-verified","not-run"
"34","高速婆婆","PASSIVE","〔追上你了〕","tpl-on-attack","持續追逐同一可見目標時累積速度，轉換目標、失去視線或停止追逐後衰退。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需同一可見目標追逐速度與轉目標衰退。","passed","passive","not-verified","not-run"
"34","高速婆婆","Q","〔疾走爪擊〕","tpl-charge-push","短距離突進爪擊。","向指定方向突進 250 wc3u，造成極小級碰撞範圍傷害與推移。","爪擊模型待製。","passed","accepted","not-verified","not-run"
"34","高速婆婆","W","〔急轉彎〕","tpl-leap-strike","快速改變方向，降低當前加速層數以換取操作能力。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","需急轉向與消耗加速層，不能單純低跳。","passed","accepted","not-verified","not-run"
"34","高速婆婆","E","〔妖怪的咒印〕","tpl-single-strike","標記一個可見敵人，使自己朝其移動時獲得有限加速。","指定單一敵人造成小級魔法傷害。 附加效果：[{""kind"":""applyStatus"",""statusId"":""slow30"",""duration"":1.5,""applyTo"":""target"",""moveSpeedMult"":0.7}]。","緩速只是底稿；需追獵目標標記與朝向加速。","passed","accepted","not-verified","not-run"
"34","高速婆婆","R","〔全速追獵〕","tpl-buff-self","短期提升速度上限與轉向能力，期間仍須通過碰撞檢查。","自身取得 3 秒增益：極小級移速。","3 秒移速增益；需上限与轉向能力独立参数。","passed","accepted","not-verified","not-run"
"34","高速婆婆","EX","〔百公里衝撞〕","tpl-charge-push","蓄勢後沿長直線衝撞，命中第一名英雄或障礙物時停止。","向指定方向突進 500 wc3u，造成極小級碰撞範圍傷害與推移。","需命中第一英雄或牆即停止，不能穿越後繼續連撞。","passed","accepted","not-verified","not-run"
"35","炭治郎","PASSIVE","〔嗅覺・破綻辨識〕","tpl-on-attack","成功閃過敵人攻擊後，短暫顯示該敵人的近身破綻；下一次刀技命中消耗。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需有效閃避後近身破綻標記與下一刀消耗。","passed","passive","not-verified","not-run"
"35","炭治郎","Q","水之呼吸・水面斬","tpl-line-sweep","前方橫斬，適合穩定輸出。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需水面斬前方橫弧，目前四段直線。","passed","accepted","not-verified","not-run"
"35","炭治郎","W","水之呼吸・水車","tpl-leap-strike","旋轉斬擊並進行短距離位移。","朝落點進行 0.5 秒跳躍，著地小範圍極小級傷害。","需水車旋轉斬与武器動作。","passed","accepted","not-verified","not-run"
"35","炭治郎","E","〔呼吸調整〕","tpl-buff-self","短暫調息恢復呼吸資源，移動或受擊會降低恢復效率。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""restore"",""manaPct"":0.15,""applyTo"":""self""}]。","標準魔力回復 15%；需呼吸資源、調息中移動受傷降效率。","passed","accepted","not-verified","not-run"
"35","炭治郎","R","火之神神樂・圓舞","tpl-line-sweep","明顯蓄勢後的高傷害斬擊，消耗較多呼吸資源。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需火之神單次高傷斬與呼吸高消耗。","passed","accepted","not-verified","not-run"
"35","炭治郎","EX","〔呼吸切換〕","tpl-buff-self","讓 Q 在水面斬與火之神神樂的強化斬版本間切換。共用 Q 冷卻；火之神版本消耗較高並增加自身負擔。","自身取得 3 秒增益：ad +15%。","固定 AD 增益不是切換；需水／火 Q 版本、共用冷卻与負擔。","passed","accepted","not-verified","not-run"
"36","鬼畜王蘭斯","PASSIVE","〔自信過剩〕","tpl-on-attack","參與擊殺獲得當回合戰意，上限五層，提升有限近戰能力。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需擊殺／助攻一次戰意，上限五層、回合重置。","passed","passive","not-verified","not-run"
"36","鬼畜王蘭斯","Q","〔蠻力斬擊〕","tpl-line-sweep","大開大合的正面斬擊。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需正面蠻力弧形斬。","passed","accepted","not-verified","not-run"
"36","鬼畜王蘭斯","W","〔本大爺還沒認真〕","tpl-buff-self","短暫蓄勢取得護盾，下一次主動攻擊消耗護盾換取有限增傷。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-36-20260907.w.guard"",""onExisting"":""keepLarger""}]。","需下一次主動攻擊消耗剩餘盾換取有限增傷。","passed","accepted","not-verified","not-run"
"36","鬼畜王蘭斯","E","〔霸王突進〕","tpl-charge-push","直線衝鋒，命中後停止。","向指定方向突進 350 wc3u，造成極小級碰撞範圍傷害與推移。","需命中第一人後停止。","passed","accepted","not-verified","not-run"
"36","鬼畜王蘭斯","R","Rance Attack／蘭斯攻擊","tpl-line-sweep","蓄力後的大範圍重斬，保留喊招與誇張爆發。","向前依序展開四個窄區域判定，各段極小級傷害；交疊段可重複命中。","需大範圍重斬、長起手與總傷害預算。","passed","accepted","not-verified","not-run"
"36","鬼畜王蘭斯","EX","〔跟著本大爺衝〕","tpl-buff-self","消耗戰意，為附近友軍提供短效移速與一次普攻強化。","自身取得 3 秒增益：極小級移速、as +20%。","目前自身加速攻速；需戰意消耗及附近友軍一次普攻增益。","passed","accepted","not-verified","not-run"
"37","吉伊卡哇","PASSIVE","〔雖然害怕還是努力〕","tpl-on-attack","附近友軍交戰時累積勇氣，上限三層；以時間間隔累積，避免多段傷害快速疊滿。","普攻追加極小級物理傷害，內置冷卻 3 秒。","需附近友軍交战依時間累積勇氣，上限三層。","passed","passive","not-verified","not-run"
"37","吉伊卡哇","Q","〔討伐叉刺擊〕","tpl-single-strike","短距離刺擊，武器判定與外觀一致。","指定單一敵人造成小級物理傷害。","討伐叉造型與近身命中對齊待製。","passed","accepted","not-verified","not-run"
"37","吉伊卡哇","W","〔哇啊啊撤退〕","tpl-charge-push","朝指定方向短距離逃跑，消耗一層勇氣可取得小護盾。","向指定方向突進 220 wc3u，造成極小級碰撞範圍傷害與推移。","需無傷害撤退並可扣勇氣換小盾；目前衝撞模板不等價。","passed","accepted","not-verified","not-run"
"37","吉伊卡哇","E","〔點心時間〕","tpl-buff-self","短暫停留恢復少量生命，受擊中斷。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""heal"",""amount"":{""flat"":70,""ratios"":[]},""applyTo"":""self""}]。","需停留吃點心及受擊中斷。","passed","accepted","not-verified","not-run"
"37","吉伊卡哇","R","〔鼓起勇氣討伐〕","tpl-lock-combo","消耗勇氣發動數次叉擊，層數決定有限的強化幅度。","3 段連擊，間隔 0.18 秒；各段極小級、末段小級，不附帶鎖足或施法者無敵。","固定三段；需勇氣消耗与有限強化幅度。","passed","accepted","not-verified","not-run"
"37","吉伊卡哇","EX","〔一起加油〕","tpl-buff-self","為附近友軍提供護盾與短效抗恐懼，自己也獲得相同效果。","自身取得 3 秒增益：無屬性加成；另結算下列護盾／回復等 effects。 附加效果：[{""kind"":""shield"",""amount"":{""flat"":120,""ratios"":[]},""duration"":3,""absorbs"":""all"",""stackKey"":""community-review-37-20260907.ex.guard"",""onExisting"":""keepLarger""}]。","目前自身；需附近友軍盾與短效抗恐懼。","passed","accepted","not-verified","not-run"
